code,valeur,definition
00,Indéterminée,Type de regard inconnu
01,Visite,Regard de visite
02,Bâche,Regard bâche
03,Boîte de branchement,Regard de boîte de branchement
99,Autre,Type de regard ne figurant pas dans la liste ci-dessus
