code,valeur,definition
00,Indéterminé,Type d'éxutoire
01,Milieu naturel,Exutoire milieu naturel
02,Pluvial,Exutoire pluvial
99,Autre,Type d'éxutoire ne figurant pas dans la liste ci-dessus
