code,valeur,definition
00,Indéterminé,Information ou qualité de l'information inconnue
01,Certaine,Année constatée durant les travaux de pose
02,Récolement,Année reprise sur plans de récolement
03,Projet,Année reprise sur plans de projet
04,Mémoire,Année issue de souvenir(s) individuel(s)
05,Déduite,Année déduite du matériau ou de l'état de l'équipement
