code,valeur
00-00,Indéterminé
01-00,Point de branchement
02-00,Ventouse
03-00,Vanne
04-00,Vidange
05-00,Régulateur de pression
06-00,Hydrant
07-00,Point métrologique
07-01,Compteur
07-02,Débitmètre
07-03,Capteur de pression
07-99,Autre point métrologique
99-99,Autre
