code,valeur
00,Indéterminée
01,Stabilisateur Amont
02,Stabilisateur Aval
03,Stabilisateur Amont - Aval
04,Limitateur débit
05,Robinet altimétrique
06,Vanne de survitesse
07,Clapet
08,Disconnecteur
09,Soupape de décharge
10,Réducteur de pression
99,Autre
