code,valeur,definition
00,Indéterminée,Type de bassin de stockage inconnu
01,Bassin tampon,Bassin tampon
02,Bassin d'orage,Bassin d'orage
03,Bassin de rétention,Bassin de rétention
04,Déssableur,Déssableur
99,Autre,Type de bassin de stockage ne figurant pas dans la liste ci-dessus
